,price,resid_area,air_qual,room_num,age,dist1,teachers,n_hos_beds,parks,airport_NO,airport_YES,poor_prop_log,crime_rate_log
57,31.6,31.32,0.411,6.816,40.5,8.63,24.9,7.432,0.042595273,0,1,1.599387576580599,0.01421843723755561
58,23.3,35.13,0.453,6.145,29.2,7.98,20.3,7.866,0.04378357,1,0,2.061786606441115,0.14362404008287546
59,19.6,35.13,0.453,5.927,47.2,7.26,20.3,6.192,0.045900171,0,1,2.3243465847755584,0.09828756118394523
60,18.7,35.13,0.453,5.741,66.2,7.33,20.3,7.974,0.043822595,1,0,2.649714624089247,0.13917046313797135
61,16.0,35.13,0.453,5.966,93.4,6.84,20.3,6.22,0.038611012,1,0,2.73696154459663,0.15846422026338808
62,22.2,35.13,0.453,6.456,67.8,7.55,20.3,5.844,0.043331952,0,1,2.0451088625993306,0.10460322898864487
63,25.0,35.13,0.453,6.762,43.4,8.23,20.3,5.9,0.046951062,0,1,2.3513752571634776,0.11911548089016212
64,33.0,31.38,0.4161,7.104,59.5,9.44,21.4,8.26,0.038988656,0,1,2.2027647577118348,0.019322119714036953
65,23.5,33.37,0.398,6.29,17.8,6.62,23.9,9.47,0.037495888,1,0,1.7351891177396608,0.03521269175574257
66,19.4,33.37,0.398,5.787,31.1,6.7,23.9,8.988,0.047875577,1,0,2.419478844465545,0.04285831980190065
67,22.0,36.07,0.409,5.878,21.4,6.64,21.1,7.14,0.040528069,0,1,2.2082744135228043,0.05627635827662477
68,17.4,36.07,0.409,5.594,36.8,6.51,21.1,8.848,0.048420864,1,0,2.645465325910589,0.1271083087153749
69,20.9,36.07,0.409,5.885,33.0,6.55,21.1,8.318,0.038387608,1,0,2.281361456542419,0.12058798698859345
70,24.2,40.81,0.413,6.417,6.6,5.52,20.8,9.784,0.040917773,0,1,2.0438143640366846,0.08458009047306331
71,21.7,40.81,0.413,5.961,17.5,5.44,20.8,10.034,0.039985354,1,0,2.3869262414277967,0.14735046784990224
72,22.8,40.81,0.413,6.065,7.8,5.46,20.8,5.856,0.036089025,1,0,1.8748743759385615,0.0876811526398337
73,23.4,40.81,0.413,6.245,6.2,5.36,20.8,5.968,0.043322646,0,1,2.1447610078004784,0.17847249197232387
74,24.1,42.83,0.437,6.273,6.0,4.54,21.3,7.882,0.038894328,1,0,2.0515563381903004,0.07599761422646503
75,21.4,42.83,0.437,6.286,45.0,4.83,21.3,6.028,0.038144597,1,0,2.2965670206684825,0.09086394630511983
76,20.0,42.83,0.437,6.279,74.5,4.33,21.3,7.3,0.045274535,1,0,2.5626389983283526,0.09670012247721355
77,20.8,42.83,0.437,6.14,45.8,4.32,21.3,5.916,0.041829283,0,1,2.422144328051685,0.08348600348975031
78,21.2,42.83,0.437,6.232,53.7,5.34,21.3,8.824,0.03764722,0,1,2.590767040487478,0.0549236964958992
79,20.3,42.83,0.437,5.874,36.6,4.53,21.3,6.406,0.047111045,1,0,2.312535423847214,0.08053796962647095
80,28.0,34.86,0.426,6.727,33.5,5.5,21.0,6.46,0.037354248,0,1,1.8389610707123492,0.04030666175913405
81,23.9,34.86,0.426,6.619,70.4,5.71,21.0,5.578,0.050032616,0,1,2.1065702090680882,0.04365318292140316
82,24.8,34.86,0.426,6.302,32.2,5.53,21.0,6.096,0.04682196,1,0,2.0438143640366846,0.03593647980430549
83,22.9,34.86,0.426,6.167,46.7,5.52,21.0,7.558,0.040448628,0,1,2.1412419425852827,0.03489405897732062
84,23.9,34.49,0.449,6.389,48.0,4.97,21.5,6.678,0.042125262,1,0,2.362739015813793,0.04935191112196908
85,26.6,34.49,0.449,6.63,56.1,4.75,21.5,9.732,0.052065566,1,0,2.018895041811802,0.05576577790585726
86,22.5,34.49,0.449,6.015,45.1,4.62,21.5,5.95,0.047156577,0,1,2.6290069937617573,0.050579039368154007
87,22.2,34.49,0.449,6.121,56.8,3.93,21.5,7.244,0.050998564,0,1,2.244955980157409,0.06906886859909774
88,23.6,33.41,0.489,7.007,86.3,3.5,22.2,6.972,0.04554757,1,0,1.8718021769015913,0.05505620574807839
89,28.7,33.41,0.489,7.079,63.1,3.66,22.2,7.574,0.047722824,0,1,1.9021075263969205,0.05166222632379377
90,22.6,33.41,0.489,6.417,66.1,3.14,22.2,7.352,0.042303076,0,1,2.2834022735772717,0.04577610263658359
91,22.0,33.41,0.489,6.405,73.9,3.16,22.2,8.24,0.045096039,1,0,2.2192034840549946,0.038566653148816694
92,22.9,45.04,0.464,6.442,53.6,3.96,21.8,9.158,0.051749737,1,0,2.214846178686039,0.04117073370367661
93,25.0,45.04,0.464,6.211,28.9,3.92,21.8,10.3,0.049108903,1,0,1.9754689512968577,0.028344473009142567
94,20.6,45.04,0.464,6.249,77.3,3.81,21.8,5.712,0.046459979,1,0,2.4501426573516603,0.04204364799767931
95,28.4,32.89,0.445,6.625,57.8,3.57,22.0,9.968,0.046627461,1,0,2.0347056478384444,0.11514845708892203
96,21.4,32.89,0.445,6.163,69.6,3.58,22.0,10.228,0.046213944,1,0,2.5128460184772416,0.10889027870807168
97,38.7,32.89,0.445,8.069,76.0,3.7,22.0,6.274,0.041200534,0,1,1.6505798557652755,0.11406948227773035
98,43.8,32.89,0.445,7.82,36.9,3.54,22.0,10.876,0.051129581,0,1,1.5195132049061133,0.0786910253316488
99,33.2,32.89,0.445,7.416,62.5,3.83,22.0,6.564,0.050933645,1,0,1.9726911717329554,0.06634938054153391
100,27.5,38.56,0.52,6.727,79.9,3.1,19.1,9.65,0.046955478,0,1,2.343727036325221,0.13859604559025776
101,26.5,38.56,0.52,6.781,71.3,3.15,19.1,7.23,0.0444151,0,1,2.1598687907924505,0.10824435339763888
102,18.6,38.56,0.52,6.405,85.4,3.03,19.1,6.772,0.054341122,1,0,2.453587966530573,0.20600553079810682
103,19.3,38.56,0.52,6.137,87.4,2.97,19.1,6.886,0.05540686,0,1,2.67000213346468,0.19195005368591098
104,20.1,38.56,0.52,6.167,90.0,2.63,19.1,7.102,0.045728768,0,1,2.5900171341906173,0.13067732364161613
105,19.5,38.56,0.52,5.851,96.7,2.19,19.1,7.89,0.05142062,0,1,2.8604851241459652,0.12453353302656033
106,19.5,38.56,0.52,5.836,91.9,2.37,19.1,10.29,0.048169777,0,1,2.9785861147190205,0.15802886422491008
107,20.4,38.56,0.52,6.127,85.2,2.35,19.1,6.008,0.05169746,0,1,2.7140322727797574,0.12325249529930257
108,19.8,38.56,0.52,6.474,97.1,2.72,19.1,8.596,0.050114607,1,0,2.5855058483441162,0.12046388341513768
109,19.4,38.56,0.52,6.229,91.2,2.57,19.1,9.788,0.055473931,0,1,2.806386101823072,0.23398853135437198
110,21.7,38.56,0.52,6.195,54.4,3.05,19.1,6.934,0.045227306,0,1,2.6390573296152584,0.10249340943404117
111,22.8,40.01,0.547,6.715,81.6,2.81,22.2,5.656,0.05432915,0,1,2.412335956953165,0.09607352474606413
112,18.8,40.01,0.547,5.913,92.9,2.55,22.2,7.9990000000000006,0.057643674,0,1,2.845490610223448,0.11626187928444459
113,18.7,40.01,0.547,6.092,95.4,2.59,22.2,10.074,0.060331195,0,1,2.895359299407204,0.2005870556007992
114,18.5,40.01,0.547,6.254,84.2,2.54,22.2,6.67,0.056980267,1,0,2.4379897300002487,0.13305252798715142
115,18.3,40.01,0.547,5.928,88.2,2.56,22.2,7.566,0.053824188,1,0,2.818995095053937,0.15814839260023492
116,21.2,40.01,0.547,6.176,72.5,2.93,22.2,6.524,0.052774054,1,0,2.5680215564985067,0.12361488619930215
117,19.2,40.01,0.547,6.021,82.6,2.77,22.2,9.484,0.060808694,1,0,2.424802725718295,0.1406137533941645
118,20.4,40.01,0.547,5.872,73.1,2.8,22.2,8.008,0.056588861,0,1,2.7954503913830435,0.12273077538031696
119,19.3,40.01,0.547,5.731,65.2,2.96,22.2,10.186,0.052908001,0,1,2.681706225762608,0.13519500804868875
120,22.0,55.65,0.581,5.87,69.7,2.4,20.9,7.84,0.056973923,0,1,2.7324175575505043,0.0667142774622037
121,20.3,55.65,0.581,6.004,84.1,2.44,20.9,9.706,0.056765616,0,1,2.725890119230541,0.06919951680100442
122,20.5,55.65,0.581,5.961,92.9,2.34,20.9,8.91,0.060720897,0,1,2.9407479652212314,0.0889170600217153
123,17.3,55.65,0.581,5.856,97.0,2.22,20.9,9.146,0.052355372,0,1,3.273742726309041,0.140092322576218
124,18.8,55.65,0.581,5.879,95.8,2.21,20.9,6.276,0.062119064,1,0,2.922085733385692,0.09393650947837953
125,21.4,55.65,0.581,5.986,88.4,2.13,20.9,8.128,0.060716839,0,1,2.7606426512213806,0.15616579098344333
126,15.7,55.65,0.581,5.613,95.6,1.93,20.9,7.714,0.063462127,1,0,3.3414473772563813,0.32739545268624176
127,16.2,51.89,0.624,5.693,96.0,2.09,18.8,5.924,0.056659877,0,1,2.900871992530031,0.23043689014167512
128,18.0,51.89,0.624,6.431,98.8,1.96,18.8,8.16,0.056365006,1,0,2.7966713927557385,0.2817369350921531
129,14.3,51.89,0.624,5.637,94.7,2.3,18.8,7.886,0.058060503,0,1,2.9621754900251482,0.6319364495150489
130,19.2,51.89,0.624,6.458,98.9,2.37,18.8,8.984,0.066273177,0,1,2.6100697927420065,0.2927143890798025
131,19.6,51.89,0.624,6.326,97.7,2.54,18.8,7.592,0.055879606,0,1,2.5847519847577165,0.7852431092803438
132,23.0,51.89,0.624,6.372,97.9,2.41,18.8,8.96,0.05495705,0,1,2.4948569806411682,0.46376546227858856
133,18.4,51.89,0.624,5.822,95.4,2.73,18.8,10.268,0.061670168,0,1,2.7744619666214616,0.2850435947287374
134,15.6,51.89,0.624,5.757,98.4,2.35,18.8,9.012,0.064571272,1,0,2.907447358686419,0.6811606280137663
135,18.1,51.89,0.624,6.335,98.2,2.22,18.8,7.862,0.066297131,0,1,2.8881470628740535,0.4432617308027308
136,17.4,51.89,0.624,5.942,93.5,2.26,18.8,10.148,0.062157471,1,0,2.884800712846709,0.2796297392609526
137,17.1,51.89,0.624,6.454,98.4,2.15,18.8,6.942,0.067321325,0,1,2.7466296830696852,0.30182903067763894
138,13.3,51.89,0.624,5.857,98.2,1.89,18.8,8.066,0.059284665,1,0,3.1054831375131102,0.22298353851284428
139,17.8,51.89,0.624,6.151,97.9,1.91,18.8,8.656,0.059113982,0,1,2.968361076757859,0.4347131824671496
140,14.0,51.89,0.624,6.174,93.6,1.86,18.8,5.68,0.056976992,1,0,3.22525543183224,0.25533964953052657
141,14.4,51.89,0.624,5.019,100.0,1.63,18.8,9.988,0.056051787,0,1,3.566994266123812,0.9664666021758895
142,13.4,49.58,0.871,5.403,100.0,1.34,25.3,5.268,0.080678048,0,1,3.325755186495297,1.4634984282783583
143,15.6,49.58,0.871,5.468,100.0,1.64,25.3,7.312,0.07925606,0,1,3.3112726741341683,1.6287306058145095
144,11.8,49.58,0.871,4.903,97.8,1.48,25.3,6.636,0.079429069,0,1,3.410817625039146,1.3296552241970494
145,13.8,49.58,0.871,6.13,100.0,1.69,25.3,7.776,0.084516058,0,1,3.3603753871419,1.2176804241557975
146,15.6,49.58,0.871,5.628,100.0,1.82,25.3,5.612,0.075905363,0,1,2.8707357833793057,1.1490043437281394
147,14.6,49.58,0.871,4.926,95.7,1.77,25.3,6.892,0.079946625,1,0,3.4187098067467865,1.2145031649491107
148,17.8,49.58,0.871,5.186,93.8,1.58,25.3,9.856,0.08378952,1,0,3.3782698770184507,1.2032695571055652
149,15.4,49.58,0.871,5.597,94.9,1.76,25.3,10.108,0.075894744,1,0,3.1112906141882632,1.317472010807663
150,21.5,49.58,0.871,6.122,97.3,1.65,25.3,5.53,0.083032787,1,0,2.714694743820879,0.977047109716266
151,19.6,49.58,0.871,5.404,100.0,1.86,25.3,6.492,0.075318927,1,0,2.658859956911438,0.9148176474178112
152,15.3,49.58,0.871,5.012,88.0,1.82,25.3,5.406,0.085078322,0,1,2.574137783515943,0.7545150555070919
153,19.4,49.58,0.871,5.709,98.5,1.78,25.3,6.088,0.083903874,1,0,2.8207834710894493,1.1471421014887528
154,17.0,49.58,0.871,6.129,96.0,1.77,25.3,7.44,0.080515947,1,0,2.780060737078482,0.8812229832136547
155,15.6,49.58,0.871,6.152,82.6,1.88,25.3,9.912,0.086711473,1,0,2.7738379416402132,1.5118272886363335
156,13.1,49.58,0.871,5.272,94.0,1.99,25.3,6.362,0.074884947,1,0,2.8414149131696336,1.2374114488766446
157,41.3,49.58,0.605,6.943,97.4,1.99,25.3,8.226,0.05481416,0,1,1.7209792871670078,0.7991185096332699
158,24.3,49.58,0.605,6.066,100.0,1.96,25.3,8.886,0.055598528,1,0,2.005525858729668,0.8513638686748987
159,23.3,49.58,0.871,6.51,100.0,1.84,25.3,7.166,0.076488584,0,1,2.127040520479115,0.8858397717781171
160,27.0,49.58,0.605,6.25,92.6,1.86,25.3,8.44,0.051890692,0,1,1.8718021769015913,0.8213029001101178
161,50.0,49.58,0.605,7.489,90.8,2.17,25.3,10.5,0.053896795,0,1,1.0043016091968684,0.9015262716731894
162,50.0,49.58,0.605,7.802,98.2,2.26,25.3,8.4,0.055681854,0,1,1.0715836162801904,1.0416079806003153
163,50.0,49.58,0.605,8.375,93.9,2.26,25.3,8.0,0.060273298,0,1,1.463255402256019,0.923869936997549
164,22.7,49.58,0.605,5.854,91.8,2.71,25.3,8.354,0.065833104,0,1,2.5368663887187113,1.176301459715032
165,25.0,49.58,0.605,6.101,93.0,2.37,25.3,10.0,0.053283066,0,1,2.3804716316511167,1.3671115417031166
166,50.0,49.58,0.605,7.929,96.2,2.11,25.3,8.3,0.052105035,0,1,1.547562508716013,1.1020031996922046
167,23.8,49.58,0.605,5.877,79.2,2.69,25.3,10.076,0.054831218,0,1,2.5756610130564646,1.0297194121814914
168,23.8,49.58,0.605,6.319,96.1,2.29,25.3,6.676,0.066262309,1,0,2.4932054526026954,1.194043673248051
169,22.3,49.58,0.605,6.402,95.2,2.3,25.3,5.546,0.053555634,1,0,2.511223958105374,1.2382379898788045
170,17.4,49.58,0.605,5.875,94.6,2.7,25.3,7.948,0.060587462,1,0,2.7363136663750693,0.7918244127486899
171,19.1,49.58,0.605,5.88,97.3,2.62,25.3,9.782,0.057446331,1,0,2.567254391136754,1.1981257435340087
172,23.1,34.05,0.51,5.572,88.5,2.7,23.4,9.362,0.052949504,1,0,2.753023566744941,0.13027359174921224
173,23.6,34.05,0.51,6.416,84.1,2.86,23.4,9.872,0.053992976,0,1,2.306577114263583,0.08780939182440825
174,22.6,34.05,0.51,5.859,68.7,2.84,23.4,9.752,0.052971979,0,1,2.3646204839134985,0.0810913883848885
175,29.4,34.05,0.51,6.546,33.1,3.22,23.4,6.188,0.050839826,0,1,1.8453002361560848,0.06451352082506599
176,23.2,34.05,0.51,6.02,47.2,3.75,23.4,8.564,0.05195249,0,1,2.4078456036515385,0.06786423481612991
177,24.6,34.05,0.51,6.315,73.4,3.35,23.4,7.092,0.047376831,0,1,1.986503546020567,0.052829613644532106
178,29.9,34.05,0.51,6.86,74.4,3.19,23.4,5.898,0.054717152,1,0,2.0693912058263346,0.06430724439516698
179,37.2,32.46,0.488,6.98,58.4,3.11,22.2,9.744,0.045500586,1,0,1.7984040119467235,0.05619127964974256
180,39.8,32.46,0.488,7.765,83.3,2.98,22.2,8.496,0.046516009,0,1,2.1471001901536506,0.06380074905066183
181,36.2,32.46,0.488,6.144,62.2,2.69,22.2,6.624,0.056018002,0,1,2.34660197841082,0.06661137129850159
182,37.9,32.46,0.488,7.155,92.2,2.72,22.2,9.258,0.042959915,0,1,1.7613002617433464,0.08712220418140294
183,32.5,32.46,0.488,6.563,95.6,3.04,22.2,7.35,0.045047217,0,1,1.8991179875485542,0.0953829044325522
184,26.4,32.46,0.488,5.604,89.8,3.06,22.2,9.928,0.046676165,0,1,2.7067159780890733,0.07980883417341518
185,29.6,32.46,0.488,6.153,68.8,3.43,22.2,8.192,0.046596095,0,1,2.649714624089247,0.0587122060793317
186,50.0,32.46,0.488,7.831,53.6,3.45,22.2,6.0,0.045703391,0,1,1.6956156086751528,0.054507124498661026
187,32.0,33.44,0.437,6.782,41.1,3.81,24.8,7.84,0.042225334,0,1,2.038619547159581,0.07580296341550075
188,29.8,33.44,0.437,6.556,29.1,4.62,24.8,7.596,0.045949197,0,1,1.715598108262491,0.11848501143594597
189,34.9,33.44,0.437,7.185,38.9,4.83,24.8,9.298,0.04637912,1,0,1.8547342683894434,0.08038111194681236
190,33.0,33.44,0.437,6.951,21.5,6.54,24.8,6.16,0.050923075,1,0,1.8082887711792655,0.08680135493654237
191,30.5,33.44,0.437,6.739,30.8,6.71,24.8,8.81,0.038316195,1,0,1.7387102481382397,0.06682652665553059
192,36.4,33.44,0.437,7.178,26.3,6.76,24.8,10.528,0.044716451,0,1,1.3532545070416904,0.08309036653209831
193,31.1,32.93,0.401,6.8,9.9,6.46,24.4,6.822,0.041103452,1,0,1.7967470107390942,0.02163428212514976
194,29.1,32.93,0.401,6.604,18.8,6.51,24.4,9.282,0.04883319,1,0,1.682688374173693,0.014287446608069455
195,50.0,30.46,0.422,7.875,32.0,5.81,25.6,8.2,0.042971351,0,1,1.3787660946990992,0.013715510885941319
196,33.3,31.52,0.404,7.287,34.1,7.58,27.4,7.266,0.036635762,0,1,1.6253112615903906,0.03932647679087991
197,30.3,31.52,0.404,7.107,36.6,7.64,27.4,6.906,0.040063074,0,1,2.262804222982201,0.045604141805015756
198,34.6,31.52,0.404,7.274,38.3,7.53,27.4,10.192,0.041173937,1,0,2.030776369698555,0.036987452050280534
199,34.9,31.47,0.403,6.975,15.3,7.97,23.0,7.998,0.041283982,0,1,1.715598108262491,0.03101405352916954
200,32.9,31.47,0.403,7.135,13.9,7.79,23.0,5.958,0.046477735,1,0,1.6956156086751528,0.017623784753549334
201,24.1,32.03,0.415,6.162,38.4,6.4,25.3,7.782,0.041438068,0,1,2.131796772013764,0.03386988450761529
202,42.3,32.03,0.415,7.61,15.7,6.35,25.3,10.546,0.045898658,1,0,1.413423028508143,0.02153641753052468
203,48.5,32.68,0.4161,7.853,33.2,5.37,25.3,8.77,0.040932911,1,0,1.57069708411767,0.034498040407567356
204,50.0,32.68,0.4161,8.034,31.9,5.41,25.3,8.9,0.044178168,0,1,1.355835153635182,0.019890858697792706
205,22.6,40.59,0.489,5.891,22.3,4.24,21.4,7.952,0.056222,0,1,2.4740142086215764,0.12788297027984555
206,24.4,40.59,0.489,6.326,52.5,4.63,21.4,6.688,0.051027894,0,1,2.482403519569882,0.20676210509846782
207,22.5,40.59,0.489,5.783,72.7,4.64,21.4,7.95,0.05189131,0,1,2.947591898226056,0.22473428542556143
208,24.4,40.59,0.489,6.064,59.1,4.3,21.4,6.888,0.044689385,0,1,2.751109690562657,0.1273988771308717
209,20.0,40.59,0.489,5.344,100.0,3.95,21.4,7.9,0.056197535,1,0,3.18179681662678,0.3616595003706893
210,21.7,40.59,0.489,5.96,92.1,3.91,21.4,8.034,0.044598056,0,1,2.9052603703899154,0.16080846749132485
211,19.3,40.59,0.489,5.404,88.6,3.99,21.4,5.986,0.048873203,1,0,3.2180755046974316,0.31902084300745703
212,22.4,40.59,0.489,5.807,53.8,3.66,21.4,6.848,0.052656085,0,1,2.834976494674597,0.19654492343019744
213,28.1,40.59,0.489,6.375,32.3,4.11,21.4,7.562,0.044019172,0,1,2.3398808777377424,0.13148429875689607
214,23.7,40.59,0.489,5.412,9.8,3.68,21.4,5.674,0.056117611,0,1,3.4193646856176043,0.2542933203064257
215,25.0,40.59,0.489,6.182,42.4,4.15,21.4,7.9990000000000006,0.04792534,0,1,2.3485140248824456,0.18067019404472426
216,23.3,43.89,0.55,5.888,56.0,3.44,23.6,5.466,0.061620518,0,1,2.6748380668960965,0.04459088332787522
217,28.7,43.89,0.55,6.642,85.1,3.52,23.6,9.274,0.048611305,1,0,2.3693087250369538,0.06778013642095812
218,21.5,43.89,0.55,5.951,93.8,2.92,23.6,8.73,0.048031734,0,1,2.9402195636237325,0.10498144381917446
219,23.0,43.89,0.55,6.373,92.4,3.65,23.6,6.16,0.056016354,0,1,2.4423470353692043,0.10818153284452811
220,26.7,36.2,0.507,6.951,88.5,3.03,22.6,8.734,0.053540387,1,0,2.3711778844596574,0.3060793008727377
221,21.7,36.2,0.507,6.164,91.3,3.31,22.6,5.734,0.057325565,0,1,3.111735949310297,0.341964270612869
222,27.5,36.2,0.507,6.879,77.7,3.41,22.6,9.45,0.046840009,0,1,2.391511302188447,0.48462126906911684
223,30.1,36.2,0.507,6.618,80.8,3.5,22.6,9.702,0.0490122,0,1,2.151762203259462,0.47914918090543834
224,44.8,36.2,0.504,8.266,78.3,2.96,22.6,6.796,0.056999654,0,1,1.6370530794670737,0.2740875847172426
